A股代码,证券简称,上市日期,总股本,流通股
603122,合富中国,20220216,398052600,398052600
603123,翠微股份,20120503,798736700,652275900
603124,江南新材,20250320,145745200,28637500
603125,常青科技,20230410,404836400,101214400
603126,中材节能,20140731,610500000,610500000
603127,昭衍新药,20170825,630482100,630482100
603128,华贸物流,20120529,1309046500,1309046500
603129,春风动力,20170818,152577700,152577700
603130,云中马,20221118,137514200,51063500
603131,上海沪工,20160607,317992200,317992200
603132,金徽股份,20220222,978000000,978000000
603135,中重科技,20230410,629538100,252657200
603136,天目湖,20170927,270126700,270126700
603137,恒尚节能,20230419,182933300,73733300
603138,海量数据,20170306,293872700,283117000
603139,康惠制药,20170421,99880000,99880000
603150,万朗磁塑,20220124,85483000,85483000
603151,邦基科技,20221019,170624900,83456900
603153,上海建科,20230313,409861100,135000000
603155,新亚强,20200901,315786800,315786800
603156,养元饮品,20180212,1260277600,1260277600
603158,腾龙股份,20150320,490799300,490799300
603159,上海亚虹,20160812,140000000,140000000
603160,汇顶科技,20161017,462231200,462231200
603161,科华控股,20180105,194407700,190748800
603162,海通发展,20230329,925580500,275895900
603163,圣晖集成,20221013,100000000,35002800
603165,荣晟环保,20170117,272623700,272623700
603166,福达股份,20141127,646208700,639008700
603167,渤海轮渡,20120906,469144500,469144500
603168,莎普爱思,20140702,375925000,322592500
603169,兰石重装,20141009,1306291800,1306291800
603170,宝立食品,20220715,400010000,400010000
603171,税友股份,20210630,406345000,405890000
603172,万丰股份,20230510,133380000,50080000
603173,福斯达,20230130,160000000,49540000
603176,汇通集团,20211231,474347600,461812600
603177,德创环保,20170207,206154000,204192000
603178,圣龙股份,20170328,236411900,236411900
603179,新泉股份,20170317,487304200,487304200
603180,金牌家居,20170512,154257100,154257100
603181,皇马科技,20170824,588700000,588700000
603182,嘉华股份,20220909,164550000,93078700
603183,建研院,20170905,497153300,497153300
603185,弘元绿能,20181228,679022200,679022200
603186,华正新材,20170103,142012100,142012100
603187,海容冷链,20181129,386416100,386416100
603188,亚邦股份,20140909,570170000,570170000
603189,网达软件,20160914,269548300,269548300
603190,亚通精工,20230217,120000000,40519500
603191,望变电气,20220428,332353399,330037400
603192,汇得科技,20180828,141153700,138666700
603193,润本股份,20231017,404593300,103336299
603194,中力股份,20241224,401000000,51455100
603195,公牛集团,20200206,1808587700,1800728200
603196,日播时尚,20170531,236988300,236988300
603197,保隆科技,20170519,213622700,213622700
603198,迎驾贡酒,20150528,800000000,800000000
603199,九华旅游,20150326,110680000,110680000
603200,上海洗霸,20170601,175480099,175480099
603201,常润股份,20220729,190038500,187573100
603202,天有为,20250424,160000000,32543700
603203,快克智能,20161108,253661100,249153300
603205,健尔康,20241107,156000000,39000000
603206,嘉环科技,20220506,305200000,305200000
603207,小方制药,20240826,160560000,40000000
603208,江山欧派,20170210,177172700,177172700
603209,兴通股份,20220324,325000000,280000000
603210,泰鸿万立,20250409,340400000,73587600
603211,晋拓股份,20220725,271808000,271808000
603212,赛伍技术,20200430,437490600,437490600
603213,镇洋发展,20211111,441812699,441812699
603214,爱婴室,20180330,138540000,138540000
603215,比依股份,20220218,187948000,187228400
603216,梦天家居,20211215,222690000,222690000
603217,元利科技,20190620,208087599,208087599
603218,日月股份,20161228,1030416300,1028036300
603219,富佳股份,20211122,561400000,561400000
603220,中贝通信,20181115,434252699,434252699
603221,爱丽家居,20200323,244580000,242270000
603222,济民健康,20150217,525090600,525090600
603223,恒通股份,20150630,714187000,714187000
603225,新凤鸣,20170418,1524654600,1511771600
603226,菲林格尔,20170615,355491800,355491800
603227,雪峰科技,20150515,1071692700,974075500
603228,景旺电子,20170106,945159299,935755000
603229,奥翔药业,20170509,830297100,830297100
603230,内蒙新华,20211224,353523000,353523000
603231,索宝蛋白,20231215,191459100,106266000
603232,格尔软件,20170421,234150000,231300000
603233,大参林,20170731,1138847900,1138847900
603235,天新药业,20220712,437780000,147065200
603236,移远通信,20190716,261657700,261657700
603237,五芳斋,20220831,197125900,121875600
603238,诺邦股份,20170222,177509000,177509000
603239,浙江仙通,20161230,270720000,270720000
603255,鼎际得,20220818,134611700,60675200
603256,宏和科技,20190719,879727500,879727500
603257,中国瑞林,20250408,120000000,24400200
603258,电魂网络,20161026,244015700,241249000
603259,药明康德,20180508,2485141100,2485141100
603260,XD合盛硅,20171030,1182206900,1182206900
603261,*ST立航,20220315,77907600,77505000
603262,技源集团,20250723,400010000,38802600
603266,天龙股份,20170110,198886800,198886800
603267,鸿远电子,20190515,231080900,231080900
603268,*ST松发,20150319,861697300,124168799
603269,海鸥股份,20170517,308751800,308751800
603270,金帝股份,20230901,219106699,70716700
603271,永杰新材,20250311,196720000,38570400
603272,联翔股份,20220520,103627000,103627000
603273,天元智能,20231023,214313400,56058400
603275,众辰科技,20230823,148771900,41942500
603276,恒兴新材,20230925,207649500,77649500
603277,银都股份,20170911,613699300,609746000
603278,大业股份,20171113,341759400,341759400
603279,景津装备,20190729,576457000,576373000
603280,南方路机,20221108,108406700,27941700
603281,江瀚新材,20230131,373333300,251693900
603282,亚光股份,20230315,133820000,64184500
603283,赛腾股份,20171225,278590800,271716800
603285,键邦股份,20240705,160000000,62296800
603286,日盈电子,20170627,117423900,115414800
603288,海天味业,20140211,5560600500,5560600500
603289,泰瑞机器,20171031,293374600,293374600
603290,斯达半导,20200204,239473500,239473500
603291,联合水务,20230327,423220600,129943100
